revision;possibleRenamings;renamingsDueToIdentation
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3d787_f6df0/rev_3d787-f6df0.revisions;3;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3d899_f6825/rev_3d899-f6825.revisions;33;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3d930_2e71e/rev_3d930-2e71e.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3d930_583ac/rev_3d930-583ac.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3df70_fdd37/rev_3df70-fdd37.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3e6be_aa81b/rev_3e6be-aa81b.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3e7e5_16ad4/rev_3e7e5-16ad4.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3e27a_1bb78/rev_3e27a-1bb78.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3e70d_2eaea/rev_3e70d-2eaea.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_jedis/revisions/rev_3ebc2_34954/rev_3ebc2-34954.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3edc1_1ef9b/rev_3edc1-1ef9b.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_3eec4_24b48/rev_3eec4-24b48.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_3ef71_d0f26/rev_3ef71-d0f26.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_junit/revisions/rev_3f05a_a4020/rev_3f05a-a4020.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_junit/revisions/rev_3f6e3_e3818/rev_3f6e3-e3818.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_3ff7a_41550/rev_3ff7a-41550.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_04ab5_87ae3/rev_04ab5-87ae3.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_jedis/revisions/rev_04f60_cb1b1/rev_04f60-cb1b1.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_4a1ca_af89c/rev_4a1ca-af89c.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_4a4e7_b1d12/rev_4a4e7-b1d12.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_atmosphere/revisions/rev_4a7fc_dabb0/rev_4a7fc-dabb0.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_4a010_1533f/rev_4a010-1533f.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_4a49b_aa751/rev_4a49b-aa751.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_4a604_c5c07/rev_4a604-c5c07.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_4aa82_7b6ac/rev_4aa82-7b6ac.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_4b00e_e63cb/rev_4b00e-e63cb.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_mockito/rev_4b0bc_55bfa/rev_4b0bc-55bfa.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_roboguice/revisions/rev_4b0f0_e06fb/rev_4b0f0-e06fb.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_4b646_be7d5/rev_4b646-be7d5.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_4bba0_94e1a/rev_4bba0-94e1a.revisions;6;0
